name,link
huffingtonpost,http://www.huffingtonpost.com
cnn,http://cnn.com
time,http://www.time.com
ted,http://www.ted.com
cnbc,http://www.cnbc.com
pcmag,http://www.pcmag.com
foxnews,http://www.foxnews.com
bbc,http://www.bbc.co.uk
espn,http://espn.com
businessinsider,http://www.businessinsider.com
thebusinessjournal,http://thebusinessjournal.com
wsj,http://wsj.com
nytimes,http://nytimes.com
wired,http://www.wired.com
thecrimson,http://thecrimson.com
thedailyjournal,http://thedailyjournal.com
today,http://www.today.com
vogue,http://www.vogue.co.uk
nydailynews,http://www.nydailynews.com
foxbusiness,http://www.foxbusiness.com
pcworld,http://www.pcworld.com
washingtontimes,http://washingtontimes.com
buzzfeed,http://www.buzzfeed.com
mashable,http://mashable.com
forbes,http://www.forbes.com
washingtonpost,http://washingtonpost.com
foxsports,http://foxsports.com
macworld,http://www.macworld.com
people,http://www.people.com
usnews,http://www.usnews.com
usatoday,http://usatoday.com
cbn,http://cbn.com
bbcamerica,http://www.bbcamerica.com
hindustan-times,https://www.hindustantimes.com
bhaskar,https://www.bhaskar.com/national/
hackernews,https://news.ycombinator.com/
toi,https://timesofindia.indiatimes.com/
ndtv,https://khabar.ndtv.com/
navbharat,https://navbharattimes.indiatimes.com/
bbc-india,https://www.bbc.com/hindi
aajtak,https://aajtak.intoday.in/
jagran,https://www.jagran.com/news/national-news-hindi.html
indiatv,https://hindi.indiatvnews.com/
